fold,loss,accuracy
1,0.06128057837486267,0.9852941036224365
2,0.05043536052107811,1.0
3,0.24786996841430664,0.9104477763175964
4,0.10465938597917557,1.0
5,0.35017532110214233,0.9253731369972229
