epochs,batch_size,learning_rate,layers,optimizer,train_loss,train_accuracy,val_loss,val_accuracy
20,16,0.001,-135,Adam,0.0356594584882259,0.9889705777168274,2.2924184799194336,0.265625
20,16,0.001,-100,Adam,0.0988334044814109,0.9816176295280457,1.6698975563049316,0.25
20,16,0.001,-135,SGD,0.8365216255187988,0.6764705777168274,1.2919034957885742,0.53125
20,16,0.001,-100,SGD,0.7774105668067932,0.6985294222831726,1.0819488763809204,0.546875
20,16,0.0001,-135,Adam,0.0633870586752891,0.9926470518112184,0.11544681340456,0.984375
20,16,0.0001,-100,Adam,0.0273284409195184,1.0,0.2561793625354767,0.921875
20,16,0.0001,-135,SGD,1.5274912118911743,0.3125,1.3851287364959717,0.15625
20,16,0.0001,-100,SGD,1.5202254056930542,0.3051470518112182,1.3720252513885498,0.328125
20,32,0.001,-135,Adam,0.0304264351725578,0.9852941036224364,1.0558844804763794,0.5625
20,32,0.001,-100,Adam,0.0219878107309341,0.9889705777168274,1.7940088510513306,0.328125
20,32,0.001,-135,SGD,1.0950645208358765,0.533088207244873,1.370779037475586,0.375
20,32,0.001,-100,SGD,1.1821194887161257,0.5036764740943909,1.436250925064087,0.28125
20,32,0.0001,-135,Adam,0.1009429916739463,0.9779411554336548,0.319020003080368,0.859375
20,32,0.0001,-100,Adam,0.1182826161384582,0.974264681339264,0.3708083629608154,0.890625
20,32,0.0001,-135,SGD,1.6569682359695437,0.2904411852359772,1.4005441665649414,0.234375
20,32,0.0001,-100,SGD,1.8255119323730469,0.2058823555707931,1.464391589164734,0.140625
30,16,0.001,-135,Adam,0.0230186115950346,0.9889705777168274,3.2333967685699463,0.40625
30,16,0.001,-100,Adam,0.0313278697431087,0.9852941036224364,1.485068440437317,0.5625
30,16,0.001,-135,SGD,0.693331241607666,0.75,1.2831591367721558,0.5
30,16,0.001,-100,SGD,0.639492392539978,0.7720588445663452,1.3956806659698486,0.21875
30,16,0.0001,-135,Adam,0.032515000551939,0.9889705777168274,0.3249748051166534,0.90625
30,16,0.0001,-100,Adam,0.0283833816647529,0.9926470518112184,0.2335804402828216,0.921875
30,16,0.0001,-135,SGD,1.4409526586532593,0.3088235259056091,1.328423261642456,0.34375
30,16,0.0001,-100,SGD,1.532778263092041,0.294117659330368,1.3678358793258667,0.3125
30,32,0.001,-135,Adam,0.038579873740673,0.9852941036224364,6.999319076538086,0.25
30,32,0.001,-100,Adam,0.0199676770716905,0.9926470518112184,1.4443202018737793,0.359375
30,32,0.001,-135,SGD,0.8849441409111023,0.6470588445663452,0.9532650113105774,0.734375
30,32,0.001,-100,SGD,0.9257367253303528,0.6102941036224365,1.3704514503479004,0.359375
30,32,0.0001,-135,Adam,0.0539060533046722,0.9926470518112184,0.1036070436239242,0.984375
30,32,0.0001,-100,Adam,0.0386321172118186,0.9889705777168274,0.3256194591522217,0.84375
30,32,0.0001,-135,SGD,1.6191275119781494,0.2757352888584137,1.269228219985962,0.40625
30,32,0.0001,-100,SGD,1.617591381072998,0.3382352888584137,1.4439146518707275,0.25
